Page_ID,Type,Text_Content,Next_Page_ID,Call_Function
P1,DESC,"여러 회전목마들이 일정한 속도를 유지하며 제자리를 빙빙 돌고 있습니다. 당신도 회전목마를 즐기다 가기로 결정합니다. 그런데 당신이 타고 있는 많은 말이 조금 이상합니다.
",-,-
P1,BRANCH,"말을 관찰한다.
",P2,-
P2,DESC,"말은 불만이 잔뜩 섞인 목소리로 말하고 있습니다.
""내 친구들은 너무 느려. 난 이것보다 훨씬 빨리 달릴 수 있다고!""
말은 주어진 경로와 속도를 이탈하여 금방이라도 뛰쳐나갈 것 같습니다.  ",,
P2,BRANCH,"말을 제압한다. (전투)
",P__AFTER_BATTLE,StartBattle(horse)
P2,BRANCH,가만히 있는다.,P_CRASH,
P_AFTER_BATTLE,DESC,말은 다시 얌전해 졌습니다. 당신은 회전목마를 조금 더 즐기다가 자리를 떠납니다.,,
P_AFTER_BATTLE,BRANCH,떠난다,END,
P_CRASH,DESC,"말은 점점 빠르게 돌다가… 결국 경로를 이탈해 달려나갑니다. 

그리고…

쿵! 

벽에 부딪혀 말은 산산조각났습니다. 다행이 당신은 다치지 않았습니다만 무척이나 아찔한 경험이었습니다.

",,
P_CRASH,BRANCH,"떠난다
",END,Courage.add(1)
,,,,
,,,,
