ID,BoxLocation,Dialogue_KO,Dialogue_EN,Type,SFX,IdToGet,IdPoint,NextID,Fuction,,,
1,Guest,남의 객실에 함부러 들어오다니 무례하군요.,,Normal,,,,2,,,,
2,Player,"…네? 아아, 죄송합니다, 손님.",,Normal,,,,3,,,,
3,Guest,티켓 확인을 해야 해서…,,Normal,,,,4,,,,
4,Guest,농담입니다. ,,Normal,,,,5,,,,
5,Player,…...,,Normal,,,,6,,,,
6,Guest,당신이 역무원인가 보군요.,,Normal,,,,7,,,,
7,Guest,흐음…독특한 생김새를 하고 있네요.,,Normal,,,,8,,,,
8,Guest,물어도 피 한 방울 안 나올 것처럼 생겼다고 해야 하나…,,Normal,,,,9,,,,
9,Player,저도 뱀파이어를 직접 보는 건 처음이군요.,,Normal,,,,10,,,,
10,Guest,당신이 살던 세계에는 뱀파이어가 없었나 보네요?,,Normal,,,,11,,,,
11,Guest,"하긴, 저희가 살기 위해서는 피가 필요하니까요.",,Normal,,,,12,,,,
12,Guest,당신같은 존재로 가득 찬 세상에서는 저희가 존재하기는 어렵겠네요.,,Normal,,,,13,,,,
13,Guest,"아아, 티켓 확인하러 오셨다고 하셨죠?",,Normal,,,,14,,,,
14,Guest,여기 티켓입니다.,,Normal,,,,15,,,,
15,Player,…...,,Normal,,,,16,,,,
16,Player,"종족은 뱀파이어, 이름은 폴. ",,Normal,,,,17,,,,
17,Player,신원 확인 되셨습니다. ,,Normal,,,,18,,,,
18,Player,객실에 비치된 팜플렛에 열차 이용에 관한 안내사항이 적혀 있으니 참고해주시고….,,Normal,,,,19,,,,
19,Player,불편한 점 있으면 저에게 말씀해주시면 감사하겠습니다.,,Normal,,,,20,,,,
20,Guest,불편한 점은 딱히 없지만…,,Normal,,,,21,,,,
21,Guest,혹시 열차에서 피를 구할 수 있나요?,,Normal,,,,22,,,,
22,Guest,기왕이면 신선한 걸로.,,Normal,,,,23,,,,
23,Player,"손님, 혹시나 해서 말씀드리지만…",,Normal,,,,24,,,,
24,Player,다른 승객들을 문다거나 하시면 안 됩니다.,,Normal,,,,25,,,,
25,Guest,"아, 안 되나요?",,Normal,,,,26,,,,
26,Player,…...,,Normal,,,,27,,,,
27,Guest,방금도 농담이었습니다.,,Normal,,,,28,,,,
28,Player,농담인 것 맞죠?,,Normal,,,,29,,,,
29,Guest,그럼요. 제 심장을 걸고 농담이었습니다.,,Normal,,,,30,,,,
30,Guest,그런데 그것 아십니까?,,Normal,,,,31,,,,
31,Guest,뱀파이어는 심장을 4개나 가지고 있다는 사실을!,,Normal,,,,32,,,,
32,Player,(또 귀찮은 손님이 한 명 들어온 것 같네…),,Normal,,,,,End,,,
