Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"길을 지나가던 당신의 귀에 날카로운 기계음이 들립니다. 소리가 난 곳을 찾아가 보니 한 로봇이 슬퍼하고 있군요.

""다시 돌아가려면 웃어야--웃어--항상 행복한 시간이 되새긺을? 아아--""
로봇은 당신을 발견하고는 달려옵니다. 썩 친절한 로봇은 아닌 것 같군요.

",,,
P1,BRANCH,"로봇과 싸운다    (전투)
",P_AFTER_BATTLE,StartBattle(ErrorRobot),
P1,BRANCH,로봇이 원하는 것을 준다   (영원한 웃음 필요),P_HELP,LoseObjet(영원한 웃음),HasObjet(영원한 웃음)
P_AFTER_BATTLE,DESC,"난폭하게 달려들던 로봇을 제압했습니다. 로봇은 시끄러운 기계음을 계속해서 울려댑니다.

""웃어-웃어야---왜? 나는--""

당신은 로봇을 보며 잠시 생각에 잠깁니다. 저 로봇에게 무슨 일이 있었던 걸까요? 앞으로 당신에게는 또 무슨 일이 있게 될까요?",,,
P_AFTER_BATTLE,BRANCH,떠난다,END,,
P_HELP,DESC,"당신은 로봇의 소원을 들어주기로 합니다. 로봇의 기계음이 잦아지더니 눈에 파란 빛이 들어옵니다.

""도와줘서 감사--언제나 즐거운 시간 되시길. 여기, 사례--""
로봇은 가벼운 발걸음으로 놀이공원의 관람차 방향으로 향합니다.

당신은 로봇을 보며 잠시 생각에 잠깁니다. 저 로봇에게 무슨 일이 있었던 걸까요? 앞으로 당신에게는 또 무슨 일이 있게 될까요?
",,GetDebris(1),
P_HELP,BRANCH,떠난다,END,,
,,,,,
,,,,,
,,,,,
,,,,,
