Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"어두운 복도의 끝에, 빛나는 눈동자를 가진 인형이 하나 보입니다. 

인형은 똘망똘망한 눈동자와 오똑한 코, 찰랑이는 머릿결을 가지고 있습니다. 그야말로 아이들이 좋아할 수밖에 없는 그런 외모입니다. 당신은 잠깐 저 인형을 주워갈까 고민하지만 그 고민은 길지 않았습니다.

인형이 한 손에 칼을 들고 당신에게 덤벼들었기 때문이죠.",,,
P1,BRANCH,"인형과 싸운다.   (전투)
",P_AFTER_BATTLE,StartBattle(DevilDoll),
P_AFTER_BATTLE,DESC,"당신은 인형을 무사히 제압했습니다. 온순해진 인형을 보니, 다시 주워가고 싶다는 생각이 불쑥 드는군요.

""나는 추천하지 않아.""

옆에서 지지가 한 마디 하지만, 결국 선택은 당신에게 달렸습니다! ",,,
P_AFTER_BATTLE,BRANCH,줍는다.   (룰렛 판정: 행운 >3),R,"StartRoullete(Luck, 3, upper,P2_S,P2_GS,P2_F) ",
P_AFTER_BATTLE,BRANCH,"줍지 않는다.



",P3,,
P3,DESC,"""그래, 잘 생각했어. 저런 물건은 최대한 멀리 하는 게 상책이라구.""

당신은 인형을 뒤로 두고 다시 길을 떠납니다.",,,
P3,BRANCH,떠난다,END,,
P2_S,DESC,"다행히 인형이 다시 살아나 당신에게 칼을 휘두르는 일은 없었습니다. 

당신은 인형을 잘 챙겨들고는 길을 떠납니다. ",,,
P2_S,BRANCH,떠난다,END,GetObjet(저주인형),
P2_GS,DESC,"다행히 인형이 다시 살아나 당신에게 칼을 휘두르는 일은 없었습니다. 
게다가 인형 근처에 주울만한 것들이 더 있군요!

당신은 인형을 잘 챙겨들고는 길을 떠납니다. ",,,
P2_GS,BRANCH,떠난다,END,"GetObjet(VoodooDoll),
GetDebris(1)",
P2_F,DESC,"당신이 인형을 주우러 다가가는 그 순간! 인형이 벌떡 일어나 당신을 공격한 후 도망갑니다.

크게 다치지는 않았지만 피가 조금 나는군요.

""그러니까 내가 말했잖아…""

지지는 당신의 속도 모르고 얄밉게도 핀잔을 줍니다.

당신은 버려진 물건을 함부로 줍지 말아야겠다는 교훈을 얻고 길을 떠납니다. ",,,
P2_F,BRANCH,떠난다,END,"LoseHP(5, ab)",
