Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"길을 지나가던 당신의 눈에 로봇 무리가 눈에 띕니다. 자세히 보니 직원 로봇들이 다른 로봇을 때리고 있군요.

""고장난 로봇. 웃지 못하는 로봇. 폐기합니다.""
""거기, 지나가던 손님. 같이 와서 우리를 돕습니다.""

지나가던 손님이라면 아무래도 당신을 말하는 것 같군요. 어떻게 할까요?

",,,
P1,BRANCH,"직원 로봇을 돕는다.     (전투)
",P_STAFF,StartBattle(ErrorRobot),
P1,BRANCH,고장난 로봇을 돕는다.   (전투),P_ERROR,StartBattle(StaffRobot),
P_STAFF,DESC,"당신은 직원 로봇을 도와 고장난 로봇을 완전히 파괴했습니다. 로봇의 부품에서 타는 연기가 올라와 당신의 코를 찌릅니다.

""마음씨 좋은 손님. 항상 즐거운 시간 되시길.""

직원 로봇은 당신에게 약간의 보상을 건네고는 빠르게 사라집니다. 아무래도 일이 많은 것 같군요.
",,GetDebris(1),
P_STAFF,BRANCH,자리를 떠난다,END,,
P_ERROR,DESC,"당신은 고장난 로봇을 도와 직원 로봇을 완전히 파괴했습니다. 로봇의 부품에서 타는 연기가 올라와 당신의 코를 찌릅니다.

""고마워. 덕분에 살았어. 이놈들, 내가 웃고 있지 않다면서 갑자기 나를 공격하는데 너무 무서웠어…너도 조심하는 게 좋아. 이거라도 가져가.""

당신은 로봇의 조언과 선물을 챙기고는 다음 장소로 떠납니다. ",,,
P_ERROR,BRANCH,자리를 떠난다,END,GetObjet(자가수리 키트),
,,,,,
,,,,,
,,,,,
,,,,,
