Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"당신은 제법 오래 미로 정원을 걸었지만, 아직도 출구를 찾지 못했습니다. 이제 슬슬 특단의 결정을 내릴 때가 된 것 같군요!",,,
P1,BRANCH,지지에게 길안내를 맡긴다,P_ZIZI,,
P1,BRANCH,감을 믿고 간다   (행운 >4),P_BLOOD,"StartRoullete(Luck, 4, upper,P2_S,P2_GS,P2_F) ",
P1,BRANCH,기억을 천천히 되짚어본다   (지혜 >4),P_WINE,"StartRoullete(Wisdom, 4, upper,P3_S,P3_GS,P3_F) ",
P_ZIZI,DESC,"""나도 기억은 잘 안 나는데…""

당신은 지지를 따라 하염없이 걷습니다. 결국 반나절을 더 헤메이다가 겨우 미로를 빠져나오는 데 성공합니다!

제법 힘든 여정이었습니다.",,,
P_ZIZI,BRANCH,미로를 탈출한다,END,"LoseHP(5, per)",
P2_S,DESC,"당신은 스스로의 운을 믿고 마음이 내키는 대로 걷기 시작합니다. 지지가 당신을 의심의 눈초리로 쳐다보지만 당신은 개의치 않습니다. 

그리고 결국 한 시간도 걸리지 않아 미로를 탈출하는 데 성공합니다!

""운이 좋군…""

과정은 조금 엉성했지만, 탈출했으니 그만 아닐까요!",,,
P2_S,BRANCH,미로를 탈출한다,END,,
P2_GS,DESC,"당신은 스스로의 운을 믿고 마음이 내키는 대로 걷기 시작합니다. 지지가 당신을 의심의 눈초리로 쳐다보지만 당신은 개의치 않습니다. 

그리고 결국 한 시간도 걸리지 않아 미로를 탈출하는 데 성공합니다! 게다가 탈출하는 과정에서 길가에 떨어진 동전 하나도 주울 수 있었습니다! 

""운이 좋군…""

당신은 자신의 운을 칭찬하며 미로의 밖으로 향합니다.",,,
P2_GS,BRANCH,미로를 탈출한다,END,GetDebris(1),
P2_F,DESC,"당신은 스스로의 운을 믿고 마음이 내키는 대로 걷기 시작합니다. 지지가 당신을 의심의 눈초리로 쳐다보지만 당신은 개의치 않습니다. 

그리고 결국…당신은 반나절을 더 헤메이다가 겨우 미로를 빠져나올 수 있었습니다.
""너무 걸었더니 피곤한걸…""

당신도 지지의 말에 공감합니다. 정말 힘든 여정이었습니다…",,,
P2_F,BRANCH,미로를 탈출한다,END,"LoseHP(10, per)",
P3_S,DESC,"당신은 지금까지 걸어온 기억을 천천히 되짚어보면서, 이미 와봤던 길은 피하고 처음 가는 길만 골라서 현명하게 길을 찾습니다. 중간중간 실수도 있었지만, 결국 한 시간도 걸리지 않아 미로를 탈출하는 데 성공합니다! 

""으으, 드디어 탈출이다!""

지지가 미로라면 지긋지긋하다는 듯이 말합니다.
당신도 고개를 한 번 끄덕이고는 미로의 밖으로 향합니다.",,,
P3_S,BRANCH,미로를 탈출한다,END,,
P3_GS,DESC,"당신은 지금까지 걸어온 기억을 천천히 되짚어보면서, 이미 와봤던 길은 피하고 처음 가는 길만 골라서 현명하게 길을 찾습니다. 당신의 완벽한 기억력 덕분에 결국 한 시간도 걸리지 않아 미로를 탈출하는 데 성공합니다! 게다가 탈출하는 과정에서 길가에 떨어진 동전 하나도 주울 수 있었습니다! 

""으으, 드디어 탈출이다!""

지지가 미로라면 지긋지긋하다는 듯이 말합니다.
당신도 고개를 한 번 끄덕이고는 미로의 밖으로 향합니다.",,,
P3_GS,BRANCH,미로를 탈출한다,END,GetDebris(1),
P3_F,DESC,"당신은 스스로의 기억을 믿고 와봤던 길은 피하면서 처음 가는 길만 골라 길을 찾습니다. 그러나 이런, 몇몇 길이 와봤던 길인지 아닌지 잘 구분이 되지 않는군요! 

결국, 당신은 반나절을 더 헤메이다가 겨우 미로를 빠져나올 수 있었습니다.
""너무 걸었더니 피곤한걸…""

당신도 지지의 말에 공감합니다. 정말 힘든 여정이었습니다…",,,
P3_F,BRANCH,미로를 탈출한다,END,"LoseHP(10, per)",
