Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"기나긴 퍼레이드 행렬이 당신의 앞을 지나가고 있습니다. 당신보다 덩치가 세 배는 되는 듯한 거대한 인형부터 귀여운 동물들, 홀려버린 손님들. 그 중에서도 당신의 시선을 잡아끄는 것은 바로 저 거대한 도도새 인형…어라? 다시 보니 인형이 아니군요! 거대 도도새가 쩌렁쩌렁한 목소리로 다음과 같이 말합니다.

""지금부터 코커스 경주를 시작하겠습니다!""

그 말이 끝나기 무섭게, 같이 행진 중이던 모든 동물들이 온갖 방향으로 정신없이 달려나가기 시작합니다. 그리고 운이 나쁘게도, 거대 도도새는 당신이 있는 방향으로 달려오기 시작하네요! ",,,
P1,BRANCH,도도새를 진정시킨다.(전투),P_AFTER_BATTLE,StartBattle(GiantDodo),DEFAULT
P_AFTER_BATTLE,DESC,"당신은 거대 도도새를 진정시키는 데에 성공합니다. 

""이제 그만! 경주는 끝이야.""
그 말에 무질서하게 달리던 동물들이 일제히 멈추고는 다시 행렬로 돌아옵니다.

""경주가 끝났으니 상을 받아야겠지? 아이야, 누구에게 상을 줄래?""",,,DEFAULT
P_AFTER_BATTLE,BRANCH,나에게 상을 준다,P_ALONE,,DEFAULT
P_AFTER_BATTLE,BRANCH,모두에게 상을 준다,P_EVERYONE,,DEFAULT
P_ALONE,DESC,"당신은 스스로에게 상을 주기로 합니다. 

""상금도 받아가야지!""
거대 도도가 당신에게 동전을 몇 개 챙겨줍니다.

""다음에 또 경주하자!""

당신은 도도에게 손을 흔들며 작별인사를 합니다. 나쁘지 않은 친구 같지만, 다시 만나고 싶지는 않군요! ",,,DEFAULT
P_ALONE,BRANCH,떠난다,END,GetDebris(3),
P_EVERYONE,DESC,"당신은 모두에게 상을 주기로 합니다. 

""모두가 우승자이니, 모두가 상을 받아야 해요!""
거대 도도가 당신에게 우승의 증표를 건네 줍니다.

""다음에 또 경주하자!""

당신은 도도에게 손을 흔들며 작별인사를 합니다. 나쁘지 않은 친구 같지만, 다시 만나고 싶지는 않군요! ",,,
P_EVERYONE,BRANCH,떠난다,END,GetObjet(모두의 우승),
,,,,,
,,,,,
