Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"당신은 오랜 기다림 끝에 자이로드롭에 탔습니다. 아래를 내려다보니 정말 높군요. 그 높이에 감탄할 새도 없이 곧바로 자이로드롭은 순식간에 떨어지기 시작합니다. 그런데 잠깐, 너무 오래 떨어지는 것 같은데요?",,,
P1,BRANCH,다음,P2,,
P2,DESC,"""으악! 이거 어디까지 떨어지는 거야!""
지지가 비명을 지르지만, 자이로드롭은 아랑곳하지 않고 지표면을 뚫으며 계속해서 떨어집니다. 이대로라면 지구 반대편에서 나타날 수도 있겠다는 생각이 드는군요! 
어쨌든 지구 중심을 통과해서 떨어지는 자이로드롭 안에서 당신은 한숨 돌리기로 합니다.
지구 반대편에 도착하기 전까지 무엇을 할까요?
",,,
P2,BRANCH,땅에 묻혀있는 보물이 없나 찾아본다. (행운 > 5),R,"StartRoullete(Luck, 5, upper,P2_S,P2_GS,P2_F) ",
P2,BRANCH,생각을 정리한다. (카드 제거),P3,DeleteCard(),
P2_S,DESC,"당신은 떨어지는 동안 지구 깊숙이 묻힌 귀중한 보물이 있을까 눈을 번뜩 뜨고 찾아봅니다. 물론 이렇게 깊숙한 곳에 보물을 숨겨놓는 사람들은 없겠죠. 그래도 당신이 지표면 근처에 도착했을 때 동전 하나는 주울 수 있었습니다. 

그리고 그것보다도 중요한 사실은, 분명 당신은 계속해서 떨어졌는데 지구 반대편이 아니라 처음 자이로드롭을 탔던 그 자리로 돌아와 있었다는 사실입니다. 이것 참 신기한 일이군요!

",,GetDebris(1),
P2_S,BRANCH,떠난다,END,,
P2_GS,DESC,"당신은 떨어지는 동안 지구 깊숙이 묻힌 귀중한 보물이 있을까 눈을 번뜩 뜨고 찾아봅니다. 그리고 놀랍게도…당신은 내핵 근처에서 고대 주화 비슷한 것을 발견할 수 있었습니다. 이런 곳에 보물을 숨길 생각을 하다니 정말 대단한 사람이군요!

그러나 그것보다도 더 대단한 사실은, 분명 당신은 계속해서 떨어졌는데 지구 반대편이 아니라 처음 자이로드롭을 탔던 그 자리로 돌아와 있었다는 사실입니다. 이것 참 신기한 일이군요!

",,GetObjet(고대 주화),
P2_GS,BRANCH,떠난다,END,,
P2_F,DESC,"당신은 떨어지는 동안 지구 깊숙이 묻힌 귀중한 보물이 있을까 눈을 번뜩 뜨고 찾아봅니다. 물론 당연하게도 이렇게 깊숙한 곳에 보물을 숨겨놓는 사람들은 없겠죠. 당신은 어두운 지구 속에서 어떤 빛나는 것도 발견하지 못했습니다.

그러나 그것보다도 더 중요한 사실은, 분명 당신은 계속해서 떨어졌는데 지구 반대편이 아니라 처음 자이로드롭을 탔던 그 자리로 돌아와 있었다는 사실입니다. 이것 참 신기한 일이군요!

",,,
P2_F,BRANCH,떠난다,END,,
P3,DESC,"당신은 여유롭게 이런저런 생각을 하며 시간을 보냈습니다. 그렇게 생각에 잠겨서 몇 시간이나 지났을까, 당신은 놀라운 사실을 한 가지 발견합니다.

분명 당신은 계속해서 떨어졌는데 지구 반대편이 아니라 처음 자이로드롭을 탔던 그 자리로 돌아와 있었던 것입니다. 이것 참 신기한 일이군요!
",,,
P3,BRANCH,떠난다,END,,
