Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"기나긴 줄 서기 끝에 당신은 바이킹에 탑승했습니다. 생각보다 더 높은 바이킹의 높이에 살짝 겁을 먹은 당신은 안전바를 꽉 잡습니다. 그러나 당신의 옆 관람객들은 그런 당신의 태도를 비웃기 시작합니다.

""얘! 너도 그 손을 놓고 우리처럼 만세를 해야지!""
""앨리스는 겁쟁이래요! 깔깔!""

바이킹이 곧 운행을 시작하려 합니다. 어떻게 할까요?

",,,
P1,BRANCH,만세!   (용기 > 4),R,"StartRoullete(Courage, 4, upper,P2_S,P2_GS,P2_F) ",
P1,BRANCH,안전바를 꽉 붙잡는다.,P_SAFE,,
P2_S,DESC,"당신은 결심합니다. 내가 얼마나 용감한 소녀인지 보여주겠노라고. 

당신은 안전바에서 손을 놓고 바이킹의 스릴을 즐깁니다.
""꼬마가 제법인데!""
막상 손을 놓고 보니 별 것도 아니군요.

당신은 주위의 관람객들과 함께 즐겁게 소리를 지르며 스릴 있는 시간을 즐겼습니다. 다음에 또 오고 싶군요!

",,Heal(5),
P2_S,BRANCH,떠난다,END,,
P2_GS,DESC,"당신은 결심합니다. 내가 얼마나 용감한 소녀인지 보여주겠노라고. 

당신은 안전바에서 손을 놓고 바이킹의 스릴을 즐깁니다.
""꼬마가 제법인데!""
막상 손을 놓고 보니 별 것도 아니군요.

당신은 주위의 관람객들과 함께 즐겁게 소리를 지르며 스릴 있는 시간을 즐겼습니다. 왜인지 이전보다 조금 더 용감해진 느낌이 들기도 합니다. 다음에 또 오고 싶군요!

",,"Heal(5), UpStatus(Courage,1)",
P2_GS,BRANCH,떠난다,END,,
P2_F,DESC,"당신은 결심합니다. 내가 얼마나 용감한 소녀인지 보여주겠노라고. 

당신은 안전바에서 손을 놓고 바이킹의 스릴을 즐기려 시도했습니다…만 자신도 모르게 금방 다시 안전바를 쥔 손에 힘이 꽉 들어갑니다.
""겁쟁이 앨리스! 겁쟁이 앨리스!""
""앨리스는 항상 겁쟁이였지!""
주위의 관람객들은 당신을 조롱하면서 소리를 질러댑니다.

바이킹이 멈추고, 당신은 마음 한 켠이 어딘가 아려오는 것을 느끼며 자리를 급히 떠납니다.

",,"DownStatus(Courage,1)",
P2_F,BRANCH,떠난다,END,,
P_SAFE,DESC,"당신은 주위 관람객들의 말에도 아랑곳 않고 안전바를 꽉 붙잡습니다. 역시 안전이 제일이죠.
""비겁자 앨리스!""
""바보같아! 앨리스는 바보같아!""
주위에서 비아냥대는 소리가 들리지만, 당신은 그 소리를 무시하려 애씁니다.

바이킹이 멈추고, 당신은 기분 나쁜 관람객들에게 벗어나기 위해 자리를 급히 떠납니다.

",,,
P_SAFE,BRANCH,떠난다,END,,
