Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"유령의 집에 들어서고 얼마 지나지 않아, 당신은 옆자리가 허전함을 깨닫습니다.

이런, 당신의 사랑스런 친구 지지가 사라졌군요!
",,,
P1,BRANCH,"지지?
",P2,,DEFAULT
P2,DESC,"당신의 소리는 공허한 복도에 메아리쳐 돌아올 뿐입니다.

그런데 잠깐! 어딘가에서 고양이 울음소리가 들리는 것도 같군요!",,,
P2,BRANCH,"울음 소리를 따라가본다.
",P_TRACE,,DEFAULT
P2,BRANCH,가만히 있는다. (방울 목걸이 필요),P_STOP,,HasObjet(방울 목걸이)
P_TRACE,DESC,"울음소리가 나는 곳에는…고양이가 한 마리 있었습니다.

하지만 그 고양이는 지지처럼 귀엽지는 않군요. 그리고…

당신에게 달려들기 시작합니다!",,,
P_TRACE,BRANCH,맞서 싸운다   (전투),T_AFTER_BATTLE,StartBattle(ScaryCat),DEFAULT
P_STOP,DESC,"""왜 가만히 서 있는 거야?""

어라? 이거 이상하군요. 당신 옆에 어느새 지지가 돌아와있습니다! 

""무슨 소리야. 난 아까부터 계속 여기에 있었다고.""

이럴 수가. 무엇에 홀리기라도 한 걸까요? 방금 있었던 일을 생각하니 괜히 으스스해지는군요.

하지만 이제 걱정 없습니다. 당신에게는 든든한 친구 지지가 함께 있으니까요!

당신은 다시 용기를 내어 유령의 집을 탐험하기 시작합니다.",,"UpStatus(Courage, 1)",
P_STOP,BRANCH,"떠난다
",END,,DEFAULT
T_AFTER_BATTLE,DESC,"후우, 정말 사나운 고양이였습니다. 그리고 힘겨운 전투에서 승리한 당신의 옆엔…

""대체 아까부터 가만히 서서 뭐 하는 거야?""

어라? 이거 이상하군요. 당신 옆에 어느새 지지가 돌아와있습니다! 

""무슨 소리야. 난 아까부터 계속 여기에 있었다고.""

이럴 수가. 무엇에 홀리기라도 한 걸까요? 방금 있었던 일을 생각하니 괜히 으스스해지는군요.

당신은 잔뜩 긴장한 채로 이곳을 빨리 빠져나가야겠다고 다짐합니다.",,,
T_AFTER_BATTLE,BRANCH,"떠난다
",END,,
