Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC," 기나긴 퍼레이드 행렬이 당신의 앞을 지나가고 있습니다. 당신보다 덩치가 세 배는 되는 듯한 거대한 인형부터 귀여운 동물들, 홀려버린 손님들까지. 다양한 분들이 함께 어울려 우렁차게 노래를 부르고 있습니다. 당신도 노래를 따라 불러야 할 것만 같은 분위기인데요?",,,
P1,BRANCH,노래를 부른다.   (지혜 > 5),R,"StartRoullete(Wisdom, 5, upper,P2_S,P2_GS,P2_F) ",
P1,BRANCH,입을 꾹 다물고 있는다.,P_NOTSING,,
P2_S,DESC,"당신은 무슨 노래인지도 모르지만 일단 노래를 부르기 시작합니다. 그리고…

놀랍게도 당신의 입에서는 당신도 기억하지 못하는 노래가 자연스럽게 흘러나오고 있습니다! 마치 아주 오래전에도 이런 노래를 부른 적이 있는 것만 같습니다.

중간중간 정확하게 기억이 나지 않는 부분이 있었습니다만, 그래도 끝까지 그럴듯하게 노래를 이어가는 데 성공했습니다. 주위의 누구도 당신을 수상하게 보고 있지는 않는 듯하군요!

당신은 눈치를 보다가 행렬에서 떠나기로 합니다.

",,Heal(5),
P2_S,BRANCH,떠난다,END,,
P2_GS,DESC,"당신은 무슨 노래인지도 모르지만 일단 노래를 부르기 시작합니다. 그리고…

놀랍게도 당신의 입에서는 당신도 기억하지 못하는 노래가 자연스럽게 흘러나오고 있습니다! 마치 아주 오래전에도 이런 노래를 부른 적이 있는 것만 같습니다.

당신이 노래의 끝소절까지 마쳤을 때쯤, 주위에서 당신을 보며 존경어린 시선을 보내기 시작합니다. 
""너무 시선이 끌리면 좋지 않아.""

당신은 지지의 조언을 따라 행렬을 떠나기로 합니다.

",,"UpStatus(Courage,1),
GetObjet(잃어버린 노래)",
P2_GS,BRANCH,떠난다,END,,
P2_F,DESC,"당신은 무슨 노래인지도 모르지만 일단 노래를 부르려고 시도합니다. 하지만 당신이 목소리를 낼 때마다 음이 어긋나며 주위의 눈초리가 쏟아지네요. 그야 당연하죠, 모르는 노래니까요!

결국 잔뜩 찌푸린 얼굴을 한 새가 내려와 당신을 쪼기 시작합니다. 아얏! 이대로 계속 당하고 있을 수만은 없겠죠?
",,LoseHP(5),
P2_F,BRANCH,맞서 싸운다.,P_AFTER_BATTLE,StartBattle(HarshBird),
P_NOTSING,DESC,"당신은 입을 다물기로 합니다. 그야 무슨 노래인지 모르는걸요.

하지만 굳게 닫힌 당신의 입을 마음에 들어하지 않은 새 한 마리가 내려와 당신을 노려보기 시작합니다. 아무래도 평화롭게 흘러가지는 않을 것 같군요.
",,,
P_NOTSING,BRANCH,맞서 싸운다. (전투),P_AFTER_BATTLE,,
P_AFTER_BATTLE,DESC,"당신에게 흠씬 혼이 난 새는 시끄럽게 울어대며 도망칩니다. 하지만 여전히 주위에서는 당신을 의심의 눈초리로 바라보고 있군요. 

""너무 시선이 끌리면 좋지 않아.""

당신은 지지의 조언을 따라 행렬을 떠나기로 합니다.",,,
P_AFTER_BATTLE,BRANCH,떠난다,END,,
