Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"당신은 빙글빙글 도는 찻잔들에 앉아 잠깐 쉬었다가기로 결정합니다. 
그런데, 이 컵들…속도가 점점 빨라지는군요!
너무 빨리 돌아서 머리가 어지러울 즈음에, 찻잔들이 속삭이는 소리가 들립니다.
",,,
P1,BRANCH,"다음
",P2,,
P2,DESC,"""정말 오래만에 오는 손님이군!""
""우리랑 같이 빙글빙글 돌자.""
""강아지도 고양이도 모두 함께 빙글빙글.""
""너도 함께 나도 함께 빙글빙글""
""머리가 다 빠질 때까지 빙글빙글""
""쨍그랑 몸이 깨질 때까지 빙글빙글""
""빙글빙글…""
",,,
P2,BRANCH,"컵들을 깨부순다    (전투)
",P_AFTER_BATTLE,StartBattle(Cups),
P2,BRANCH,빙글빙글…,P_SPIN,,
P_AFTER_BATTLE,DESC,"""아아, 깨져버렸다.""
""이제 더 이상 돌지 않아도 돼...""
""빙글빙글?""

깨진 컵들은 더 이상 아무 소리도 내지 않습니다. 
당신은 조용한 찻잔들을 떠나 다음 장소로 향합니다.",,,
P_AFTER_BATTLE,BRANCH,떠난다,END,,
P_SPIN,DESC,"당신은 컵을 따라 빙글빙글 돕니다. 
빙글빙글 돕니다…

""안 돼, 그만 멈춰야 해!""
당신은 아랑곳 하지 않고 빙글빙글 돕니다.
""으윽,멈춰야 하는데...빙글빙글…"" 

너도 함께 나도 함께 빙글빙글 돕니다.
",,,
P_SPIN,BRANCH,"다음
",P_AFTER_SPIN,GetObjet(찻잔),
P_AFTER_SPIN,DESC,"한바탕 정신없이 돌고나니 당신은 세상이 새롭게 보입니다. 
마치 새로 태어난 것만 같은 기분을 만끽하며 당신은 빙글빙글 걸어갑니다.",,,
P_AFTER_SPIN,BRANCH,빙글빙글!,END,,
