Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"당신과 지지는 잠시 관람차 안에 들어가 휴식을 취하기로 합니다. 그런데 이런! 관람차가 멈춰버렸습니다.

""너무 당황하지 마. 다 방법이 있으니까.""
지지는 이미 여러 번 이런 일을 겪어본 것처럼 태연하게 말합니다.

""겁먹지 말고 뛰어내리면 돼. 생각하는 것처럼 아프지 않을 거야."" 
황당한 이야기입니다만, 지지가 거짓말을 하는 것 같지는 않습니다.
",,,
P1,BRANCH,"뛰어내린다   (행운>7)
",R,"StartRoullete(Luck, 7, upper,P2_S,P2_GS,P2_F)",
P1,BRANCH,낙하산을 펼친다   (낙하산 필요),P_Parachute,,HasObjet(낙하산)
P1,BRANCH,비둘기를 부른다   ,P_Dove,,NeedKey(metDove)
P2_S,DESC,"당신은 용감하게 뛰어내립니다! 

쿵! 바닥에 부딪치며 엉덩이를 찧기는 했지만, 그 높이에서 떨어졌다고는 생각하지 못할 정도로 멀쩡합니다. 당신은 신기한 얼굴로 지지를 바라보지만, 지지는 당연한 일이 일어난 것에 놀라지 말라는 눈치입니다.
 
""이런 곳에서 멈출 수는 없지. 어서 출발하자.""
앞장서는 지지를 따라 당신도 자리를 옮깁니다.

",,LoseHP(1),
P2_S,BRANCH,떠난다,END,,
P2_GS,DESC,"당신은 용감하게 뛰어내립니다! 

바람을 가르며 마치 하늘에서 다이빙을 하는 것 같은 기분을 만끽하던 당신은 잎이 무성한 나무 위로 떨어집니다. 피부를 살짝 긁히기는 했지만, 덕분에 멀쩡하게 내려오는 데 성공했군요. 당신은 신기한 얼굴로 지지를 바라보지만, 지지는 당연한 일이 일어난 것에 놀라지 말라는 눈치입니다. 

""이런 곳에서 멈출 수는 없지. 어서 출발하자.""
앞장서는 지지를 따라 당신도 자리를 옮깁니다.

",,,
P2_GS,BRANCH,떠난다,END,,
P2_F,DESC,"당신은 용감하게 뛰어내립니다! 

그리고….쿵! 세상이 어두워지는 듯합니다...


",,,
P2_F,BRANCH,정신을 잃는다,P2_F2,"LoseHP(10), GetCard(현기증)",
P2_F2,DESC,"""아직 안 돼! 어서 일어나, 앨리스!""
지지의 외침에 정신이 번쩍 듭니다. 당신의 몸은…머리가 살짝 아프기는 한 것 같지만, 일단 큰 문제는 없는 것 같군요. 당신은 신기한 얼굴로 지지를 바라보지만, 지지는 당연한 일이 일어난 것에 놀라지 말라는 눈치입니다

""이런 곳에서 멈출 수는 없지. 어서 출발하자.""
앞장서는 지지를 따라 당신도 자리를 옮깁니다.",,,
P2_F2,BRANCH,떠난다,END,,
P_Parachute,DESC,"당신은 용감하게 뛰어내립니다! 

바람을 가르며 마치 하늘에서 다이빙을 하는 것 같은 기분을 만끽하다가, 지면이 가까워질 때쯤 낙하산을 펼쳐 우아하게 착지했습니다. 낙하산 덕분에 멀쩡하게 내려오는 데 성공했군요.

""이런 곳에서 멈출 수는 없지. 어서 출발하자.""
앞장서는 지지를 따라 당신도 자리를 옮깁니다.

",,"UpStatus(Courage, 1)",
P_Parachute,BRANCH,떠난다,END,,
P_Dove,DESC,"당신이 휘파람을 부르자, 놀랍게도 비둘기가 당신의 부름을 듣고 찾아왔습니다!

당신은 비둘기의 다리를 붙잡고 아주 천천히 지면으로 떨어집니다. 비둘기는 조금 고생한 것 같지만 덕분에 멀쩡하게 내려오는 데 성공했군요.

""이런 곳에서 멈출 수는 없지. 어서 출발하자.""
앞장서는 지지를 따라 당신도 자리를 옮깁니다.
",,,
P_Dove,BRANCH,떠난다,END,,
