Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"한창 미로를 헤메고 있는 당신의 앞에 위풍당당한 비둘기 한 마리가 나타납니다. 멋진 모자를 쓴 비둘기는 당신을 빤히 쳐다보며 무언가를 요구하는 것만 같군요!

",,,
P1,BRANCH,"비둘기를 쫓아낸다.   (전투)
",P_AFTER_BATTLE,StartBattle(Dove),DEFAULT
P1,BRANCH,비둘기에게 돈을 준다.   (코인 -1),P_COIN,GetDebris(-1),
P_AFTER_BATTLE,DESC,"당신이 비둘기와 한참을 투닥대고 나니, 비둘기가 기분이 볼 일 다 봤다는 듯이 모자를 챙겨 떠나가 버립니다.

""평범한 비둘기는 아닌 것 같았어, 그렇지?""
당신은 방금 본 비둘기의 검은 색 모자가 머릿속에 아른거리는 채로 계속해서 미로를 떠돕니다.",,,DEFAULT
P_AFTER_BATTLE,BRANCH,떠난다,END,,DEFAULT
P_COIN,DESC,"비둘기는 재빠르게 당신의 동전을 낚아챈 뒤, 모자 안에 넣고 마구 흔듭니다. 그리고 놀랍게도!

당신의 동전이 감쪽같이 사라져버렸습니다!",,,
P_COIN,BRANCH,동전을 돌려달라고 항의한다,P_COMPLAIN,GetDebris(1),DEFAULT
P_COIN,BRANCH,신기한 마술에 감탄한다,P_WOW,,
P_COMPLAIN,DESC,"당신과 지지가 거세게 항의하자 비둘기는 당신을 째려보다가, 마지못해 동전을 다시 돌려줍니다. 이런, 동전은 비둘기의 깃털 속에 있었군요! 비둘기는 평소보다 거칠게 날갯짓하며 하늘로 날아갑니다.

""후우, 하마터면 돈 떼일 뻔했어!""

당신은 비둘기를 함부로 믿지 말아야겠다는 교훈을 얻고 다시 길을 떠납니다.
",,,DEFAULT
P_COMPLAIN,BRANCH,떠난다,END,"UpStatus(Wisdom,1)",
P_WOW,DESC,"감탄하는 당신을 보며 의기양양해진 비둘기는 또다른 마술을 시작합니다. 모자를 다시 열심히 흔들더니, 이럴 수가! 모자 안에서 비둘기 얼굴이 그려진 작은 동전이 나왔습니다!

비둘기는 당당하게 그 동전을 당신에게 건넵니다. 거래 용으로는 쓸 수 없을 것 같지만, 가지고 있으면 어딘가 도움이 될 것 같습니다.

당신이 동전을 받자, 비둘기는 만족한 듯이 쿨하게 자리를 떠나버립니다. 

""신기한 비둘기네.""
당신은 지지의 감상평에 동의하며 다시 길을 떠납니다.  

",,,
P_WOW,BRANCH,떠난다,END,GetObjet(DoveCoin),
