Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"유령의 집을 돌아다니고 있는 당신의 앞에 특이한 분위기의 유령이 하나 나타납니다.

""으…으…""

유령은 괴상한 소리를 내며 당신에게 다가옵니다.

",,,
P1,BRANCH,"유령을 물리친다.   (전투)
",P_AFTER_BATTLE,StartBattle(GuestOrGhost),DEFAULT
P1,BRANCH,유령에게 인사를 건넨다.,P_HELLO,,
P_AFTER_BATTLE,DESC,"""집에…싶…인데…""

유령은 알아듣기 힘든 말을 남기고 형체도 없이 사라집니다.

당신은 가던 길을 계속해서 걸어갑니다.",,,DEFAULT
P_AFTER_BATTLE,BRANCH,떠난다,END,,DEFAULT
P_HELLO,DESC,"""집…가...""

유령은 흐린 발음으로 이야기를 계속합니다. 무슨 말인지 알아듣기가 쉽지 않군요.",,,
P_HELLO,BRANCH,"유령을 물리친다.   (전투)
",P_AFTER_BATTLE,StartBattle(GuestOrGhost),DEFAULT
P_HELLO,BRANCH,"집중해서 귀를 기울여본다.   (지혜 >3)

",,"StartRoullete(Wisdom, 3, upper,P2_S,P2_GS,P2_F) ",
P2_S,DESC,"당신은 집중력을 발휘해서 유령의 말을 해석해보기로 합니다. 다행히 조금씩 들리는 것 같군요. 
""난…유령... 아니….""
""..전에...잃어서…계속...이렇게…""

무슨 말인지 정확하게는 모르겠지만, 아무튼 이 장소가 기분 나쁜 곳이라는 건 확실해 보입니다. 
당신은 이곳을 빨리 빠져나가야겠다고 생각합니다. 
",,,DEFAULT
P2_S,BRANCH,서둘러 떠난다,END,,
P2_GS,DESC,"당신은 집중력을 발휘해서 유령의 말을 해석해보기로 합니다. 다행히 유령의 말이 잘 들리는 것 같군요. 
""난…유령이 아니었어….""
""오래 전에 길을 잃어서…계속 여기 있다 보니 이렇게…""

이럴 수가! 이 유령은 원래 유령이 아니었다고 합니다! 
당신은 빨리 이 불길한 장소를 빠져나가야겠다는 생각이 듭니다.

""박쥐…박쥐를 조심해…""
유령은 마지막으로 의미심장한 말을 남기고 형체도 없이 사라집니다.

당신은 유령이 남긴 말을 생각해보다가 다시 길을 떠납니다.

",,"UpStatus(Wisdom,1)",
P2_GS,BRANCH,떠난다,END,,
P2_F,DESC,"당신은 집중력을 발휘해서 유령의 말을 해석해보기로 합니다. 
""난…아.""
""..전...어서…렇게…""

그러나 여전히 무슨 말인지 알아들을 수 없군요. 유령은 이해되지 않는 말을 남기다가 형체도 없이 사라집니다.
당신은 겁에 질린 채 이곳을 빨리 빠져나가야겠다고 생각합니다. 
",,,
P2_F,BRANCH,서둘러 떠난다,END,"DownStatus(Courage, 1)",
