Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"""이거 정말 큰일인걸. 이런 곳에서 길을 잃게 되다니.""

보따리를 잔뜩 등에 이고 있는 양 상인이 문제에 빠진 것 같습니다. 

""미로가 너무 복잡해서 길을 잃어버렸지 뭐야. 아무래도 미로가 아니라 다른 곳으로 지나가는 게 좋겠어. 아이야, 혹시 나가는 길을 알고 있니?""",,,
P1,BRANCH,안다   (지혜>3),R,"StartRoullete(Wisdom, 3, upper,P2_S,P2_GS,P2_F) ",
P1,BRANCH,모른다,P_MERCHANT,,
P2_S,DESC,"당신은 기억을 더듬어 입구 방향이 어디였는지를 기억해냅니다. 

""그렇구나. 그 정도면 어떻게든 찾아갈 수 있겠어. 고마워!""

양 상인은 당신에게 답례를 챙겨준 후, 보따리를 들고 당신이 알려준 방향으로 향합니다.

당신도 다시 출구를 찾아나섭니다.  
",,,
P2_S,BRANCH,떠난다,END,GetDebris(1),
P2_GS,DESC,"당신은 뛰어난 기억력으로 입구 방향이 어디였는지를 정확하게 알려주었습니다. 

""그렇구나. 이 방향으로 가면 확실히 입구가 나오겠어!""

양 상인은 당신에게 후한 답례를 챙겨준 후, 보따리를 들고 당신이 알려준 방향으로 향합니다.

당신도 다시 출구를 찾아나섭니다.  
",,,
P2_GS,BRANCH,떠난다,END,GetDebris(2),
P2_F,DESC,"당신은 입구가 어디였는지 최선을 다해 기억해보려 하지만, 안타깝게도 당신의 머리 또한 미로 속에서 혼란스럽기만 합니다.

""으음! 너도 길을 잃었구나!""

양 상인은 호호 웃음을 지은 뒤, 보따리를 들고 출구를 찾아 떠납니다.

당신도 정말로 길을 잃기 전에 빨리 출구를 찾아야겠다는 생각이 듭니다.
",,,
P2_F,BRANCH,떠난다,END,"DownStatus(Courage,1)",
P_MERCHANT,DESC,"""어쩔 수 없지. 그럼 만난 김에 도움이 될 물건이나 한 번 골라봐!""
",,,
P_MERCHANT,BRANCH,"상점을 둘러본다

",P_AFTER_MERCHANT,meetMerchant(),
P_AFTER_MERCHANT,DESC,"""그래, 그럼 다음에 또 보자구.""
양은 당신에게 인사를 건네고 갈 길을 떠납니다.

당신도 출구를 찾아 떠납니다.
",,,
P_AFTER_MERCHANT,BRANCH,떠난다,END,,
,,,,,
,,,,,
