Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"""오오!""
지지가 아이스크림 카트를 발견하고는 기쁨에 젖은 울음소리를 냅니다.
카트에는 주인으로 추정되는 양 상인이 있습니다.

""안녕. 온 김에 기념품을 하나 사지 않을래? 가격은 조금 비싸지만 아이스크림보다 더 도움이 될 거야.""",,,
P1,BRANCH,"아이스크림을 산다.   (체력 회복)
",P_IceCream,Heal(30),
P1,BRANCH,기념품을 산다.   (기념품 상점),P2,MeetMerchant(souvenir),
P1,BRANCH,다른 물건을 산다.   (일반 상점),P2,MeetMerchant(),
P_IceCream,DESC,"""난 아이스크림이 좋아. 너도 그렇지?""
지지가 당신을 보며 은근히 눈치를 줍니다. 당신은 아이스크림을 사서 하나는 지지에게 주고, 하나는 당신이 먹습니다.

""역시 단 게 최고야…""
달콤한 아이스크림을 먹으니  피로가 조금은 풀리는 듯합니다.

달콤한 시간이 끝나고, 당신은 지지와 함께 다시 길을 떠납니다.




",,,
P_IceCream,BRANCH,떠난다,END,,
P2,DESC,"""그래, 그럼 다음에 또 보자구."" 
양은 당신에게 인사를 건네고 갈 길을 떠납니다.

당신도 다음 목적지로 향합니다.",,,
P2,BRANCH,떠난다,END,,
,,,,,
,,,,,
,,,,,
