Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"뚜벅뚜벅 걸어가는 당신의 발에 무언가 밟힙니다. 편지지 안에는 당신을 만찬 차리에 초대하겠다는 내용이 쓰여 있군요! 이 편지는 누군가를 초대하기 위한 초대장인 것 같습니다.
",,,
P1,BRANCH,초대에 응한다.,P_INVTATION,,DEFAULT
P1,BRANCH,초대를 무시한다.,P_EXIT,,HasDream(Vampire)
P_INVTATION,DESC,"초대장의 약도를 따라 찾아간 곳에는, 놀랍게도 뱀파이어 하나가 앉아 있습니다. 아주 성대한 만찬과 함께 말이죠.
""맛있게 먹도록 해. 너를 위해 열심히 준비한 거니까.""

당신은 식탁에 놓인 고기를 한 점 집어먹습니다. 진미로군요!

""귀여운 아이야, 나는 네가 언젠가 여기에 오게 될 거라고 믿어왔단다! 나와 함께 여기서 평생 함께 하지 않겠니? 네가 원하는 모든 것을 내가 줄 수 있단다. 맛있는 음식도, 예쁜 옷도, 재밌는 친구도 말이야.""


",,,DEFAULT
P_INVTATION,BRANCH,영원히 함께 하겠다고 말한다.,P_ACCEPT,,DEFAULT
P_INVTATION,BRANCH,제안을 거절한다.,P_REJECTION,,
P_ACCEPT,DESC,"""그럴 수는 없어. 우리는 빨리 이 놀이공원을 지나서 꿈의 끝까지 가야 한다고!""

지지가 당신을 나무라는 소리에, 당신은 정신이 번쩍 듭니다! 하마터면 평생 유령의 집에 갇혀 살 뻔 했군요!

""버릇 없는 고양이가 한 마리 있었구나. 아무래도 그 고양이의 입을 찢어놓고 나서 다시 우리 둘이 얘기를 해보면 좋겠어!""

뱀파이어의 눈이 붉게 물들면서, 음산한 기운이 방 가득 퍼져 나갑니다. 
당신은 지지와 함께 마음을 다잡고 전투를 준비합니다.",,,DEFAULT
P_ACCEPT,BRANCH,전투를 준비한다.   (전투),P_AFTER_BATTLE,StartBattle(Vamp),
P_REJECTION,DESC,"""아이야, 어째서 거절하는 거니? 네가 바라는 모든 것이 너의 것이 될 텐데.""
뱀파이어는 당신을 설득하려 노력하지만, 당신은 재차 제안을 거절합니다.

""그래. 너도 나를 남겨두고 떠나겠다는 거니? 아아, 알겠다. 네 옆에 그 고양이가 문제구나. 그 고양이 때문에 넌 외로움을 모르는 거야. 아이야, 너도 나와 같이 외로워진다면 우린 진정한 가족이 될 수 있을 거란다.""

슬픔에 잠긴 뱀파이어의 눈이 붉게 물들고, 음산한 기운이 방 가득 퍼져 나갑니다.

""이번에는 꽤 힘든 싸움이 될 수도 있겠어.""

당신은 지지와 함께 마음을 다잡고 전투를 준비합니다.",,,
P_REJECTION,BRANCH,뱀파이어와 싸운다.   (전투),P_AFTER_BATTLE,StartBattle(Vamp),
P_AFTER_BATTLE,DESC,"힘을 다 쓴 뱀파이어는 많이 지쳐 보입니다. 

""모두가 외롭다면 나도 더 이상 외롭지 않을텐데...""

뱀파이어는 의식을 잃고 쓰러진 것 같습니다. 당신은 그 틈을 타 신속하게 방을 빠져나갑니다. 부지런히 걸어온 당신의 눈에 어느새 이곳의 출구가 보입니다!",,,
P_AFTER_BATTLE,BRANCH,유령의 집을 나간다,END,,
P_EXIT,DESC,"당신은 수상한 초대장을 무시하기로 결정합니다. 사서 고생을 할 필요는 없죠.

부지런히 걸어온 당신은 어느새 이곳의 출구에 도착했습니다!
",,,
P_EXIT,BRANCH,유령의 집을 나간다,END,,
